train/learning_rate,time/total_timesteps,train/value_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,train/explained_variance,time/iterations,train/entropy_loss,train/policy_loss,train/n_updates,rollout/ep_rew_mean
0.0007,12800,0.05027162656188011,309.66,252,50,0.8845584765076637,100,-1.2716436386108398,-0.10762740671634674,99,2.16
0.0007,25600,0.1631452441215515,352.31,253,100,0.6284994781017303,200,-1.3312852382659912,0.037800200283527374,199,2.98
0.0007,38400,0.1590675711631775,405.6,262,146,0.5449937283992767,300,-1.0810576677322388,-0.04082690179347992,299,4.35
0.0007,51200,0.12300731241703033,452.65,269,190,0.8717644065618515,400,-1.086432933807373,-0.18852706253528595,399,5.27
0.0007,64000,0.17115464806556702,445.36,274,233,0.83815997838974,500,-1.0905836820602417,0.24702516198158264,499,5.16
0.0007,76800,0.15712839365005493,492.49,278,275,0.8814396858215332,600,-1.0046353340148926,-0.1452452838420868,599,6.11
0.0007,89600,0.11016647517681122,479.83,281,318,0.8807082250714302,700,-1.096542477607727,-0.008126269094645977,699,5.89
0.0007,102400,0.18157678842544556,471.97,283,361,0.4803444743156433,800,-1.0746197700500488,-0.015764035284519196,799,5.74
0.0007,115200,0.07067541778087616,508.63,285,403,0.9451166726648808,900,-0.9605551362037659,-0.07441447675228119,899,6.64
0.0007,128000,0.2659758925437927,482.52,287,445,0.3460511565208435,1000,-1.210221767425537,0.19491437077522278,999,5.94
0.0007,140800,0.1319306641817093,515.45,288,488,0.894272156059742,1100,-0.8588801622390747,-0.006563898175954819,1099,6.65
0.0007,153600,0.25841957330703735,511.16,289,529,0.5446885526180267,1200,-0.962784469127655,0.2736852765083313,1199,6.5
0.0007,166400,0.15584950149059296,540.84,291,571,0.9003663510084152,1300,-0.934862494468689,-0.19977609813213348,1299,7.18
0.0007,179200,0.1496492326259613,556.09,292,613,0.8237849026918411,1400,-0.9152570962905884,-0.010570582933723927,1399,7.49
0.0007,192000,0.1286800503730774,554.42,293,654,0.8655427992343903,1500,-0.9032185077667236,-0.09103012084960938,1499,7.58
0.0007,204800,0.25276973843574524,585.51,294,696,0.7290287017822266,1600,-0.8805322051048279,-0.09119699895381927,1599,8.01
0.0007,217600,0.2694336175918579,580.8,294,737,0.7727005183696747,1700,-0.8245289921760559,0.21270634233951569,1699,7.97
0.0007,230400,0.3694308400154114,582.73,295,779,0.4506741762161255,1800,-0.7962825298309326,0.07802246510982513,1799,8.12
0.0007,243200,0.29819098114967346,612.57,296,820,0.44982099533081055,1900,-0.818706750869751,-0.002551390789449215,1899,8.65
0.0007,256000,0.22582843899726868,613.23,297,861,0.8901583105325699,2000,-0.7648122310638428,-0.21477624773979187,1999,8.66
0.0007,268800,0.31290745735168457,657.95,297,902,0.3751065731048584,2100,-0.7936844229698181,0.15695808827877045,2099,9.89
0.0007,281600,0.5108237266540527,653.89,298,943,0.5819449424743652,2200,-0.6505850553512573,0.20620539784431458,2199,9.73
0.0007,294400,0.30212995409965515,661.57,298,984,0.6395391821861267,2300,-0.7320390343666077,0.10059899091720581,2299,9.94
0.0007,307200,0.22670646011829376,705.63,299,1025,0.7099231481552124,2400,-0.5537148714065552,-0.05285884439945221,2399,11.1
0.0007,320000,0.34099137783050537,728.14,300,1066,0.5715712010860443,2500,-0.6718045473098755,0.035759080201387405,2499,11.97
0.0007,332800,0.679473876953125,681.66,300,1107,0.21183747053146362,2600,-0.7709881067276001,0.3789371848106384,2599,10.77
0.0007,345600,0.24893516302108765,697.71,300,1148,0.6391026377677917,2700,-0.5804190635681152,0.0679057314991951,2699,11.08
