time/fps,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/time_elapsed,train/entropy_loss,time/iterations,train/policy_loss,train/value_loss,train/explained_variance
83,0.5,99,165.16666666666666,1000,0.0007,11,-1.3060247898101807,100,-0.008867776952683926,5.784910899819806e-05,0.0
84,0.7,199,174.9,2000,0.0007,23,-1.2208000421524048,200,-0.002992729190737009,5.2372924983501434e-06,-1.1920928955078125e-07
84,1.1333333333333333,299,198.33333333333334,3000,0.0007,35,-1.245685338973999,300,0.017669863998889923,0.00029367319075390697,0.0
85,1.3888888888888888,399,207.66666666666666,4000,0.0007,46,-1.0981460809707642,400,-0.012620469555258751,0.0001422773057129234,1.1920928955078125e-07
85,1.375,499,201.41666666666666,5000,0.0007,58,-1.0633054971694946,500,0.712877094745636,0.8315869569778442,0.0
85,1.2903225806451613,599,193.29032258064515,6000,0.0007,69,-1.0449416637420654,600,-0.013199237175285816,0.0003154856385663152,0.0
86,1.3333333333333333,699,194.02777777777777,7000,0.0007,81,-0.9438198804855347,700,-0.010596071369946003,0.00029368625837378204,-2.384185791015625e-06
86,1.2195121951219512,799,188.14634146341464,8000,0.0007,92,-0.7136817574501038,800,-0.020029712468385696,0.0004511165898293257,0.0
86,1.2553191489361701,899,189.9787234042553,9000,0.0007,104,-0.7145466804504395,900,0.0005834791227243841,6.290175065259973e-07,-4.5299530029296875e-06
86,1.2307692307692308,999,190.15384615384616,10000,0.0007,115,-0.5104262232780457,1000,0.0002154692483600229,4.301851674881618e-07,5.960464477539063e-08
86,1.11864406779661,1099,186.22033898305085,11000,0.0007,127,-0.38581982254981995,1100,-4.3996067688567564e-05,2.1026832541792828e-07,0.0002219080924987793
86,1.0625,1199,185.421875,12000,0.0007,138,-0.4505179524421692,1200,1.521335768472909e-08,3.133391659388595e-16,0.0
86,1.0285714285714285,1299,185.57142857142858,13000,0.0007,150,-0.216984361410141,1300,-0.07273140549659729,0.04129016399383545,nan
