rollout/ep_rew_mean,train/entropy_loss,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/n_updates,train/policy_loss,time/fps,train/value_loss,train/learning_rate,rollout/ep_len_mean
22.790697674418606,-0.6929847598075867,100,1000,2,0.0756956934928894,99,3.519145965576172,445,32.17426300048828,0.0007,22.790697674418606
22.896551724137932,-0.6261239647865295,200,2000,3,0.25389546155929565,199,3.4157168865203857,652,23.148651123046875,0.0007,22.896551724137932
28.13,-0.5614346265792847,300,3000,3,0.06822216510772705,299,2.7105236053466797,785,18.126873016357422,0.0007,28.13
34.2,-0.6122249364852905,400,4000,4,0.06355780363082886,399,-4.257351875305176,871,123.50837707519531,0.0007,34.2
42.7,-0.586558997631073,500,5000,5,0.0043711066246032715,499,-1.9137752056121826,935,80.8060073852539,0.0007,42.7
51.3,-0.5491733551025391,600,6000,6,0.03503835201263428,599,2.336815595626831,997,16.51346778869629,0.0007,51.3
58.76,-0.6234499216079712,700,7000,6,0.00041228532791137695,699,1.6001001596450806,1047,15.07194995880127,0.0007,58.76
67.66,-0.6179331541061401,800,8000,7,-0.0002809762954711914,799,1.6759392023086548,1091,13.342938423156738,0.0007,67.66
76.71,-0.48058128356933594,900,9000,8,-4.172325134277344e-05,899,1.7256637811660767,1093,11.545055389404297,0.0007,76.71
85.2,-0.5911318063735962,1000,10000,8,0.0013573765754699707,999,1.6610429286956787,1113,10.091816902160645,0.0007,85.2
93.01,-0.613483726978302,1100,11000,9,-0.00038313865661621094,1099,1.2501003742218018,1131,8.786666870117188,0.0007,93.01
99.82,-0.5000705122947693,1200,12000,10,0.00010883808135986328,1199,1.1656206846237183,1146,7.445376396179199,0.0007,99.82
106.26,-0.5896371006965637,1300,13000,11,-0.00016057491302490234,1299,1.0515748262405396,1159,6.243781089782715,0.0007,106.26
113.03,-0.5348231196403503,1400,14000,11,-1.895427703857422e-05,1399,0.976585865020752,1185,5.07001256942749,0.0007,113.03
120.68,-0.48810023069381714,1500,15000,12,0.00013762712478637695,1499,0.9775567054748535,1195,3.99395751953125,0.0007,120.68
127.11,-0.4841519892215729,1600,16000,13,-2.9325485229492188e-05,1599,0.9750133752822876,1200,2.99001407623291,0.0007,127.11
136.46,-0.6005498766899109,1700,17000,14,-4.9948692321777344e-05,1699,0.6349506974220276,1208,2.1212356090545654,0.0007,136.46
147.69,-0.5640362501144409,1800,18000,14,1.0728836059570312e-06,1799,0.5295237302780151,1221,1.4383310079574585,0.0007,147.69
156.59,-0.42715543508529663,1900,19000,15,1.2278556823730469e-05,1899,0.6190428137779236,1232,0.8876651525497437,0.0007,156.59
164.01,-0.5665279030799866,2000,20000,16,-5.245208740234375e-06,1999,0.355410635471344,1240,0.4697486460208893,0.0007,164.01
171.46,-0.590694785118103,2100,21000,16,8.344650268554688e-06,2099,0.18423940241336823,1245,0.1887618750333786,0.0007,171.46
179.69,-0.5455846786499023,2200,22000,17,0.00012135505676269531,2199,0.10118521749973297,1249,0.03359011933207512,0.0007,179.69
184.92,-0.6061343550682068,2300,23000,18,-0.002611875534057617,2299,0.00630897656083107,1261,0.0001462942746002227,0.0007,184.92
188.69,-0.5249217748641968,2400,24000,18,1.9669532775878906e-06,2399,0.001410207012668252,1269,5.900417363591259e-06,0.0007,188.69
189.84,-0.5936821699142456,2500,25000,19,0.0016493797302246094,2499,0.004240745212882757,1271,7.115174958016723e-05,0.0007,189.84
191.2,-0.5875524282455444,2600,26000,20,-0.009893655776977539,2599,0.0007345788180828094,1273,2.6194961719738785e-06,0.0007,191.2
197.74,-0.5494834184646606,2700,27000,21,0.006080567836761475,2699,0.005906973499804735,1265,0.00012008770136162639,0.0007,197.74
196.82,-0.5048854351043701,2800,28000,22,-0.00928032398223877,2799,0.0009446528856642544,1271,4.127080501348246e-06,0.0007,196.82
196.64,-0.5622696876525879,2900,29000,22,-0.005005359649658203,2899,0.0005502276471816003,1284,1.62221840582788e-06,0.0007,196.64
204.29,-0.44279545545578003,3000,30000,23,0.005634784698486328,2999,0.0006498294533230364,1286,1.4953723166399868e-06,0.0007,204.29
209.92,-0.574416995048523,3100,31000,23,-0.0051691532135009766,3099,0.0007408782257698476,1293,4.1071675696002785e-06,0.0007,209.92
215.73,-0.4196426272392273,3200,32000,24,0.0008821487426757812,3199,0.0030440702103078365,1291,1.588293889653869e-05,0.0007,215.73
218.38,-0.5780813097953796,3300,33000,25,-0.0021740198135375977,3299,0.0023812181316316128,1292,2.4945969926193357e-05,0.0007,218.38
222.33,-0.5911576747894287,3400,34000,26,0.0047457218170166016,3399,4.3609186832327396e-05,1297,8.498318493366241e-09,0.0007,222.33
228.92,-0.42222681641578674,3500,35000,26,-0.005189418792724609,3499,0.0035722970496863127,1304,2.877645965781994e-05,0.0007,228.92
232.78,-0.5634769797325134,3600,36000,27,0.8970051854848862,3599,3.004765312653035e-05,1308,6.7229848355054855e-09,0.0007,232.78
237.46,-0.5459131002426147,3700,37000,28,0.15176469087600708,3699,2.1988464141031727e-05,1310,2.270098775625229e-09,0.0007,237.46
242.98,-0.5834445953369141,3800,38000,28,-0.040000081062316895,3799,1.8789050955092534e-06,1314,4.0745361945537795e-11,0.0007,242.98
