time/fps,time/iterations,train/policy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/entropy_loss,train/explained_variance,time/time_elapsed,train/learning_rate
1805,100,3.5545639991760254,99,26.216216216216218,26.216216216216218,1000,35.07139587402344,-0.6723487973213196,-0.10421466827392578,0,0.0007
1803,200,2.6945464611053467,199,35.10909090909091,35.10909090909091,2000,27.81184959411621,-0.6410329937934875,-0.08687114715576172,1,0.0007
1789,300,2.1747519969940186,299,44.6865671641791,44.6865671641791,3000,20.562328338623047,-0.6255125403404236,0.08204996585845947,1,0.0007
1751,400,2.281233310699463,399,51.26923076923077,51.26923076923077,4000,19.289859771728516,-0.649948239326477,-0.005750894546508789,2,0.0007
1756,500,3.0372345447540283,499,56.7906976744186,56.7906976744186,5000,17.24437141418457,-0.4738059639930725,-0.0073699951171875,2,0.0007
1760,600,2.41304087638855,599,62.5,62.5,6000,15.334169387817383,-0.5777511596679688,0.00029146671295166016,3,0.0007
1734,700,1.1201927661895752,699,68.0,68.0,7000,13.524648666381836,-0.5212304592132568,-0.0010259151458740234,4,0.0007
1736,800,1.779150366783142,799,76.91,76.91,8000,11.734192848205566,-0.5959650278091431,0.00039392709732055664,4,0.0007
1741,900,0.6358120441436768,899,87.95,87.95,9000,2.966557025909424,-0.5064009428024292,-0.00034165382385253906,5,0.0007
1717,1000,1.3801349401474,999,97.03,97.03,10000,8.438572883605957,-0.4946696162223816,-3.3020973205566406e-05,5,0.0007
1714,1100,0.9325952529907227,1099,105.22,105.22,11000,7.068947792053223,-0.49182945489883423,-0.00010454654693603516,6,0.0007
1719,1200,1.4248573780059814,1199,114.49,114.49,12000,5.848897457122803,-0.4727291166782379,-0.00026667118072509766,6,0.0007
1706,1300,0.9925974011421204,1299,121.06,121.06,13000,4.738711357116699,-0.5587302446365356,-2.9325485229492188e-05,7,0.0007
1699,1400,0.9131091237068176,1399,129.52,129.52,14000,3.7417640686035156,-0.48343342542648315,-5.9604644775390625e-06,8,0.0007
1696,1500,0.9333627820014954,1499,136.97,136.97,15000,2.8819196224212646,-0.47885364294052124,-0.00017464160919189453,8,0.0007
1692,1600,0.5501126050949097,1599,145.02,145.02,16000,2.101508617401123,-0.5394344329833984,-7.367134094238281e-05,9,0.0007
1686,1700,0.6567612290382385,1699,149.56,149.56,17000,1.4602447748184204,-0.5037531852722168,0.00011843442916870117,10,0.0007
1693,1800,0.4476735591888428,1799,157.98,157.98,18000,0.9020034074783325,-0.5390971302986145,0.0035237669944763184,10,0.0007
1698,1900,0.2694748342037201,1899,164.45,164.45,19000,0.4893181324005127,-0.5816754102706909,0.0007050037384033203,11,0.0007
1703,2000,0.14974497258663177,1999,170.6,170.6,20000,0.20052233338356018,-0.5471450090408325,5.662441253662109e-06,11,0.0007
1697,2100,0.04772944003343582,2099,177.44,177.44,21000,0.03666612505912781,-0.510738730430603,-3.743171691894531e-05,12,0.0007
1692,2200,0.004885217174887657,2199,183.97,183.97,22000,0.00013627464068122208,-0.4446043074131012,-0.0001010894775390625,12,0.0007
1691,2300,-38.34791564941406,2299,191.25,191.25,23000,6460.7080078125,-0.47222989797592163,5.125999450683594e-06,13,0.0007
1689,2400,0.0024845986627042294,2399,195.52,195.52,24000,8.557784894946963e-05,-0.4725949764251709,0.0001970529556274414,14,0.0007
1680,2500,-24.271753311157227,2499,198.66,198.66,25000,8149.59375,-0.5319497585296631,2.5451183319091797e-05,14,0.0007
1678,2600,0.00019285290909465402,2599,204.56,204.56,26000,3.342225625146966e-07,-0.4388534426689148,0.06721830368041992,15,0.0007
1677,2700,-20.42939567565918,2699,213.05,213.05,27000,4708.7109375,-0.4042269289493561,0.00013250112533569336,16,0.0007
1677,2800,-0.0,2799,216.87,216.87,28000,2.9103830456733704e-11,-0.42222318053245544,nan,16,0.0007
1672,2900,-1.327216949675858e-07,2899,222.59,222.59,29000,6.402842839259293e-11,-0.4741590917110443,0.7999999970197678,17,0.0007
1676,3000,-1.1515503501868807e-05,2999,230.0,230.0,30000,7.683411129555395e-10,-0.432029664516449,nan,17,0.0007
1680,3100,-4.1548553042503045e-08,3099,238.48,238.48,31000,2.3283064365386963e-10,-0.4554184079170227,nan,18,0.0007
1682,3200,0.00016492916620336473,3199,245.07,245.07,32000,1.7101993421420048e-07,-0.445326566696167,0.014052927494049072,19,0.0007
1679,3300,-1.844320308919123e-06,3299,250.41,250.41,33000,3.4924597935859225e-11,-0.403463751077652,nan,19,0.0007
1682,3400,1.5540397271252004e-06,3399,253.87,253.87,34000,8.731149137020111e-11,-0.4483177661895752,nan,20,0.0007
1684,3500,1.1876302778546233e-05,3499,253.32,253.32,35000,3.119930536144011e-09,-0.5264753103256226,-0.08026325702667236,20,0.0007
1687,3600,-3.361325752848643e-06,3599,259.87,259.87,36000,8.731149137020111e-11,-0.4941157400608063,nan,21,0.0007
1688,3700,2.3067732399795204e-06,3699,266.8,266.8,37000,8.440110832452774e-10,-0.3810425400733948,-11.64000129699707,21,0.0007
1682,3800,8.803563389392366e-08,3799,271.29,271.29,38000,7.566995641195007e-11,-0.48086151480674744,0.18999993801116943,22,0.0007
1684,3900,2.1060710423626006e-05,3899,277.02,277.02,39000,2.6833730792930055e-09,-0.4622495174407959,-0.268420934677124,23,0.0007
1687,4000,9.417603723704815e-05,3999,281.91,281.91,40000,5.79282648516255e-08,-0.505344569683075,-0.06736218929290771,23,0.0007
1690,4100,-2.6866377993428614e-06,4099,289.08,289.08,41000,4.0745361945537795e-11,-0.5746728181838989,nan,24,0.0007
1692,4200,-0.0002380253718001768,4199,297.05,297.05,42000,3.3845427083178947e-07,-0.43766364455223083,0.02501589059829712,24,0.0007
1685,4300,7.625852731507621e-07,4299,304.82,304.82,43000,7.566995641195007e-11,-0.4934336245059967,0.4399999976158142,25,0.0007
1684,4400,0.002622694242745638,4399,311.3,311.3,44000,5.521986895473674e-05,-0.5521775484085083,-0.004423856735229492,26,0.0007
1686,4500,0.0029406656976789236,4499,315.41,315.41,45000,3.211035436834209e-05,-0.5218783617019653,-0.009451985359191895,26,0.0007
1688,4600,0.0010261762654408813,4599,318.88,318.88,46000,6.576324722118443e-06,-0.5553070306777954,-0.004050135612487793,27,0.0007
1686,4700,-2.3685599259692935e-08,4699,320.91,320.91,47000,1.396983917434369e-10,-0.44108837842941284,nan,27,0.0007
1680,4800,0.0006226436235010624,4799,326.11,326.11,48000,3.5358709737920435e-06,-0.5098751187324524,9.638071060180664e-05,28,0.0007
1681,4900,0.0010572398314252496,4899,328.35,328.35,49000,7.819407983333804e-06,-0.47775644063949585,-0.007561206817626953,29,0.0007
1684,5000,0.0031495087314397097,4999,331.34,331.34,50000,0.0001736863050609827,-0.48806852102279663,-0.0009218454360961914,29,0.0007
1684,5100,0.0038764080964028835,5099,327.8,327.8,51000,0.0001450231357011944,-0.4626351296901703,-0.001540064811706543,30,0.0007
1685,5200,0.0005512248608283699,5199,324.16,324.16,52000,2.8854178708570544e-06,-0.4944295287132263,-0.0031369924545288086,30,0.0007
1687,5300,0.0013054750161245465,5299,314.25,314.25,53000,1.2973183402209543e-05,-0.5287955403327942,-0.00081634521484375,31,0.0007
1681,5400,0.0027860526461154222,5399,311.54,311.54,54000,7.194718637038022e-05,-0.5497463941574097,-0.0011066198348999023,32,0.0007
1681,5500,0.002876853570342064,5499,309.73,309.73,55000,5.294824222801253e-05,-0.46367621421813965,-0.0020688772201538086,32,0.0007
1681,5600,0.002721231197938323,5599,298.35,298.35,56000,3.338512033224106e-05,-0.45875152945518494,-0.002505779266357422,33,0.0007
1680,5700,0.001559331314638257,5699,272.31,272.31,57000,1.9718117982847616e-05,-0.44630613923072815,-0.002239704132080078,33,0.0007
1680,5800,0.0006102678598836064,5799,250.06,250.06,58000,5.665968728862936e-06,-0.5085820555686951,-0.0014004707336425781,34,0.0007
1680,5900,0.002762122778221965,5899,216.69,216.69,59000,6.644842505920678e-05,-0.5313014984130859,-0.002433300018310547,35,0.0007
