time/fps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
9159,4,20.75,0.9980287499999998,20.75,83,0,,,
7922,8,19.0,0.9963900000000001,19.0,152,0,,,
7464,12,20.916666666666668,0.99403875,20.916666666666668,251,0,,,
7183,16,20.5,0.9922100000000001,20.5,328,0,,,
7194,20,19.55,0.9907137499999998,19.55,391,0,,,
7097,24,20.208333333333332,0.98848125,20.208333333333332,485,0,,,
6987,28,20.071428571428573,0.9866525000000002,20.071428571428573,562,0,,,
7088,32,21.40625,0.98373125,21.40625,685,0,,,
7051,36,21.166666666666668,0.9819025000000001,21.166666666666668,762,0,,,
6959,40,20.95,0.9800974999999998,20.95,838,0,,,
6919,44,21.09090909090909,0.9779600000000002,21.09090909090909,928,0,,,
6870,48,20.729166666666668,0.9763687500000002,20.729166666666668,995,0,,,
4699,52,20.692307692307693,0.9744449999999998,20.692307692307693,1076,0,18,0.16653193533420563,0.001
3512,56,21.357142857142858,0.9715950000000001,21.357142857142858,1196,0,48,0.01697886735200882,0.001
3239,60,21.216666666666665,0.9697662500000003,21.216666666666665,1273,0,68,0.007907198742032051,0.001
3054,64,21.34375,0.9675575,21.34375,1366,0,91,0.0020874347537755966,0.001
2947,68,20.985294117647058,0.96610875,20.985294117647058,1427,0,106,0.0015040097059682012,0.001
2714,72,20.958333333333332,0.9641612499999999,20.958333333333332,1509,0,127,0.42711341381073,0.001
2549,76,20.986842105263158,0.9621187500000002,20.986842105263158,1595,0,148,0.029868178069591522,0.001
2460,80,21.05,0.9600050000000001,21.05,1684,0,170,0.030389580875635147,0.001
2400,84,20.702380952380953,0.9586987499999999,20.702380952380953,1739,0,184,0.013041273690760136,0.001
2318,88,21.056818181818183,0.9559912500000002,21.056818181818183,1853,0,213,0.01960381120443344,0.001
2278,92,21.065217391304348,0.9539725000000001,21.065217391304348,1938,0,234,0.03765430301427841,0.001
2223,96,20.822916666666668,0.9525237500000001,20.822916666666668,1999,0,249,0.029616355895996094,0.001
2165,100,20.82,0.9505524999999999,20.82,2082,0,270,0.17507755756378174,0.001
2142,104,20.73,0.9487949999999999,20.73,2156,1,288,0.14282633364200592,0.001
2115,108,21.28,0.9458500000000002,21.28,2280,1,319,0.07859094440937042,0.001
2096,112,21.49,0.943,21.49,2400,1,349,0.0314779207110405,0.001
2077,116,21.69,0.9406962500000001,21.69,2497,1,374,0.07227157056331635,0.001
2052,120,22.48,0.9373237500000002,22.48,2639,1,409,0.03414143994450569,0.001
2031,124,22.63,0.9347350000000001,22.63,2748,1,436,0.08314748108386993,0.001
2011,128,23.18,0.9316000000000002,23.18,2880,1,469,0.007470161188393831,0.001
1998,132,22.91,0.92932,22.91,2976,1,493,0.04682117700576782,0.001
1989,136,22.82,0.927705,22.82,3044,1,510,0.23724962770938873,0.001
1975,140,23.03,0.9254012500000002,23.03,3141,1,535,0.21245577931404114,0.001
1970,144,22.97,0.9234062500000003,22.97,3225,1,556,0.09874475002288818,0.001
1961,148,23.18,0.9213162499999997,23.18,3313,1,578,0.2129216343164444,0.001
1954,152,24.03,0.9173737499999998,24.03,3479,1,619,0.17239098250865936,0.001
1946,156,23.75,0.9151887500000002,23.75,3571,1,642,0.0953531488776207,0.001
1935,160,24.2,0.9122912500000002,24.2,3693,1,673,0.15978267788887024,0.001
1928,164,24.01,0.9105337499999998,24.01,3767,1,691,0.26034826040267944,0.001
1914,168,24.44,0.90806375,24.44,3871,2,717,0.2137283980846405,0.001
1906,172,24.65,0.9056174999999997,24.65,3974,2,743,0.1354474127292633,0.001
1900,176,24.65,0.903575,24.65,4060,2,764,0.19577793776988983,0.001
1881,180,24.5,0.9018175000000002,24.5,4134,2,783,0.14976106584072113,0.001
1848,184,24.87,0.8996325000000001,24.87,4226,2,806,0.19904927909374237,0.001
1835,188,25.02,0.89656875,25.02,4355,2,838,0.07934897392988205,0.001
1829,192,25.72,0.8928875000000002,25.72,4510,2,877,0.4261186718940735,0.001
1830,196,27.2,0.8879237499999999,27.2,4719,2,929,0.2158099263906479,0.001
1825,200,27.48,0.8852875,27.48,4830,2,957,0.26192232966423035,0.001
1821,204,27.42,0.8836725,27.42,4898,2,974,0.023564571514725685,0.001
1813,208,27.29,0.8810362500000001,27.29,5009,2,1002,0.5936775803565979,0.001
1812,212,27.63,0.8773787499999999,27.63,5163,2,1040,0.18157562613487244,0.001
1810,216,27.53,0.8753125,27.53,5250,2,1062,0.10653449594974518,0.001
1806,220,27.33,0.872415,27.33,5372,2,1092,0.10229742527008057,0.001
1800,224,27.77,0.86878125,27.77,5525,3,1131,0.3426192104816437,0.001
1791,228,27.39,0.8665487500000001,27.39,5619,3,1154,0.3178585171699524,0.001
1784,232,27.6,0.8637699999999998,27.6,5736,3,1183,0.2621847689151764,0.001
1776,236,27.6,0.8621549999999998,27.6,5804,3,1200,0.10279698669910431,0.001
1765,240,27.56,0.8599462500000001,27.56,5897,3,1224,0.20643121004104614,0.001
1753,244,29.16,0.8541512500000001,29.16,6141,3,1285,0.3042657673358917,0.001
1754,248,29.73,0.8507075000000002,29.73,6286,3,1321,0.21754829585552216,0.001
1752,252,28.93,0.848665,28.93,6372,3,1342,0.3972233533859253,0.001
1750,256,28.77,0.8468599999999997,28.77,6448,3,1361,0.10991676151752472,0.001
1728,260,28.81,0.8438675000000002,28.81,6574,3,1393,0.5765944719314575,0.001
1718,264,28.89,0.8419200000000001,28.89,6656,3,1413,0.13757029175758362,0.001
1715,268,28.75,0.8397824999999999,28.75,6746,3,1436,0.2746204137802124,0.001
1714,272,28.83,0.83714625,28.83,6857,4,1464,0.22956566512584686,0.001
1713,276,29.01,0.8346762500000001,29.01,6961,4,1490,0.031266532838344574,0.001
1714,280,30.01,0.8305437499999999,30.01,7135,4,1533,0.28917402029037476,0.001
1708,284,30.53,0.8271237500000003,30.53,7279,4,1569,0.19650569558143616,0.001
1705,288,30.23,0.8247725000000001,30.23,7378,4,1594,0.4349238872528076,0.001
1703,292,29.62,0.8225400000000003,29.62,7472,4,1617,0.38058844208717346,0.001
1702,296,28.49,0.8202600000000001,28.49,7568,4,1641,0.13492625951766968,0.001
1701,300,29.84,0.8144174999999998,29.84,7814,4,1703,0.2364569753408432,0.001
1699,304,31.65,0.8085037500000001,31.65,8063,4,1765,0.29485753178596497,0.001
1696,308,31.75,0.8056300000000003,31.75,8184,4,1795,0.16177941858768463,0.001
1694,312,31.44,0.8027087500000001,31.44,8307,4,1826,0.2675594389438629,0.001
1692,316,31.34,0.8008800000000003,31.34,8384,4,1845,0.2827952802181244,0.001
1690,320,31.22,0.7982674999999999,31.22,8494,5,1873,0.27680152654647827,0.001
1689,324,31.07,0.7949900000000001,31.07,8632,5,1907,0.460176020860672,0.001
1689,328,31.28,0.7922587500000002,31.28,8747,5,1936,0.4182499647140503,0.001
1689,332,31.08,0.7899549999999999,31.08,8844,5,1960,0.6255631446838379,0.001
1691,336,32.6,0.7847299999999999,32.6,9064,5,2015,0.8553966283798218,0.001
