time/fps,time/iterations,train/policy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/entropy_loss,train/explained_variance,time/time_elapsed,train/learning_rate
1142,100,3.23693585395813,99,-244.13993675,113.25,1000,58.94215774536133,-0.9958274960517883,-0.08673095703125,0,0.0007
1170,200,-18.411556243896484,199,-301.7131539230769,144.46153846153845,2000,338.1645202636719,-1.0549942255020142,-0.0006258487701416016,1,0.0007
1143,300,-20.640338897705078,299,-333.9784325714286,138.04761904761904,3000,399.229736328125,-1.1462945938110352,-0.0017665624618530273,2,0.0007
1146,400,7.726815223693848,399,-348.3037775333333,132.13333333333333,4000,88.65477752685547,-1.25270676612854,-0.001376032829284668,3,0.0007
1146,500,-0.0911208987236023,499,-325.14282937837834,132.97297297297297,5000,0.9909564256668091,-1.2677520513534546,-0.001391291618347168,4,0.0007
1143,600,-7.298306941986084,599,-310.5954011190476,136.78571428571428,6000,113.45965576171875,-1.018195629119873,-0.001723647117614746,5,0.0007
1139,700,6.296718597412109,699,-288.3991619166667,143.97916666666666,7000,116.10107421875,-0.9245423078536987,-0.0004507303237915039,6,0.0007
1140,800,-16.956512451171875,799,-287.12510514,145.98,8000,187.9481964111328,-1.3117191791534424,0.38261133432388306,7,0.0007
1144,900,8.189847946166992,899,-272.9716940740741,165.4814814814815,9000,99.23741149902344,-1.2052185535430908,-0.0008264780044555664,7,0.0007
1146,1000,-0.940929114818573,999,-262.59648413793104,170.24137931034483,10000,13.420730590820312,-0.6161189675331116,0.017940878868103027,8,0.0007
1154,1100,-1.7518373727798462,1099,-254.2624994193548,174.0,11000,9.125778198242188,-0.9374478459358215,-0.0016492605209350586,9,0.0007
1161,1200,-9.19738483428955,1199,-247.96723710606062,179.07575757575756,12000,207.77490234375,-0.809950053691864,-0.0014388561248779297,10,0.0007
1160,1300,6.380873680114746,1299,-241.51890624285718,182.55714285714285,13000,110.38175964355469,-0.6596828103065491,-0.003907203674316406,11,0.0007
1164,1400,0.5458967685699463,1399,-230.00432833783788,186.98648648648648,14000,3.6097798347473145,-0.8231412172317505,-0.001271367073059082,12,0.0007
1164,1500,-12.299284934997559,1499,-225.218292025641,190.74358974358975,15000,518.1199340820312,-0.7453235387802124,0.0008162856101989746,12,0.0007
1164,1600,7.950837135314941,1599,-220.9181793373494,191.25301204819277,16000,163.35496520996094,-0.7426472902297974,-0.00024390220642089844,13,0.0007
1161,1700,5.726717948913574,1699,-215.25791842528733,195.1494252873563,17000,98.08854675292969,-0.7233555316925049,-0.0001653432846069336,14,0.0007
1161,1800,-0.2645668387413025,1799,-210.59190813636363,204.29545454545453,18000,43.714542388916016,-0.5120949149131775,-0.0036553144454956055,15,0.0007
1163,1900,2.0236878395080566,1899,-209.1997365217391,204.69565217391303,19000,35.615936279296875,-0.5738215446472168,0.09477871656417847,16,0.0007
1164,2000,-2.2950708866119385,1999,-206.88162765624998,207.32291666666666,20000,9.97657299041748,-0.9132286310195923,-0.00884711742401123,17,0.0007
1165,2100,-0.10860198736190796,2099,-204.84646397979796,211.41414141414143,21000,0.8615347146987915,-0.6959887742996216,-0.0012558698654174805,18,0.0007
1166,2200,-40.69401550292969,2199,-195.06349858000002,216.03,22000,3380.55712890625,-0.6791824102401733,-0.292091965675354,18,0.0007
1167,2300,-1.343603491783142,2299,-191.62561740000004,223.12,23000,198.54873657226562,-0.3088320195674896,-0.32524752616882324,19,0.0007
1166,2400,-5.223196983337402,2399,-182.22234444999998,229.16,24000,91.450927734375,-0.6415554285049438,-0.03053438663482666,20,0.0007
1163,2500,-0.16813555359840393,2499,-166.76012391,230.52,25000,2.197381019592285,-0.5805150270462036,-0.004257678985595703,21,0.0007
1161,2600,-1.6492278575897217,2599,-165.04602522999997,235.11,26000,12.174671173095703,-0.5398163199424744,0.6651974022388458,22,0.0007
1160,2700,-1.2036007642745972,2699,-148.4691477,242.11,27000,3.8616089820861816,-0.8822751045227051,-0.026252031326293945,23,0.0007
1162,2800,-5.9684367179870605,2799,-137.47745202,246.56,28000,214.8772430419922,-0.40529942512512207,-0.010007619857788086,24,0.0007
