time/fps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
6867,4,-250.2896795,0.9952737500000002,99.5,398,0,,,
7097,8,-201.765641875,0.9899775000000003,105.5,844,0,,,
4850,12,-186.5239315,0.9856668749999999,100.58333333333333,1207,0,51,1.5405014753341675,0.001
3211,16,-181.8499935625,0.9808693750000002,100.6875,1611,0,152,2.522623300552368,0.001
2294,20,-178.47320695000002,0.976000625,101.05,2021,0,255,1.0571914911270142,0.001
2149,24,-168.29336854166667,0.9720937500000002,97.91666666666667,2350,1,337,2.1895155906677246,0.001
1968,28,-163.33840225,0.9679493749999999,96.39285714285714,2699,1,424,0.5019316077232361,0.001
1881,32,-166.44258556249997,0.963365625,96.40625,3085,1,521,1.2420533895492554,0.001
1852,36,-159.57884011111105,0.9589956249999998,95.91666666666667,3453,1,613,3.580021381378174,0.001
1813,40,-164.53194965,0.9541743749999999,96.475,3859,2,714,0.7805525064468384,0.001
1796,44,-178.28202472727273,0.9493531249999999,96.93181818181819,4265,2,816,2.1161813735961914,0.001
1779,48,-176.45383179166666,0.9449593750000002,96.5625,4635,2,908,0.3018864393234253,0.001
1769,52,-169.14820069230765,0.9404587500000002,96.42307692307692,5014,2,1003,0.6832587718963623,0.001
1755,56,-174.39045985714284,0.9362193749999999,95.91071428571429,5371,3,1092,2.9036240577697754,0.001
1738,60,-171.79664714999998,0.931326875,96.38333333333334,5783,3,1195,0.4330989718437195,0.001
1722,64,-168.768489125,0.9271943749999998,95.796875,6131,3,1282,2.752638339996338,0.001
1710,68,-164.41167863235296,0.9227531250000002,95.66176470588235,6505,3,1376,1.9250454902648926,0.001
1678,72,-158.87644266666666,0.9184781250000001,95.34722222222223,6865,4,1466,0.3644370138645172,0.001
1645,76,-158.95744514473682,0.9138112500000002,95.5,7258,4,1564,3.402852773666382,0.001
1641,80,-159.143143675,0.9093937500000002,95.375,7630,4,1657,1.8604791164398193,0.001
1635,84,-153.4297089047619,0.9056887500000002,94.54761904761905,7942,4,1735,1.951650619506836,0.001
1623,88,-150.974974125,0.9017699999999998,94.0,8272,5,1817,1.3530468940734863,0.001
1619,92,-148.7845655978261,0.8980293750000001,93.33695652173913,8587,5,1896,7.467618942260742,0.001
1620,96,-148.03216945833333,0.89367125,93.27083333333333,8954,5,1988,1.8200092315673828,0.001
1618,100,-144.57301142,0.8887906250000003,93.65,9365,5,2091,4.313985347747803,0.001
1618,104,-139.49054304999996,0.8842899999999998,93.46,9744,6,2185,2.8484716415405273,0.001
1614,108,-139.50802731,0.87973,92.84,10128,6,2281,0.5691104531288147,0.001
1611,112,-137.02820319,0.8758231250000003,92.5,10457,6,2364,0.3943697214126587,0.001
1592,116,-137.21002208,0.8712631249999998,92.3,10841,6,2460,2.1232330799102783,0.001
1594,120,-134.73786591999996,0.8665012499999998,92.21,11242,7,2560,1.0908710956573486,0.001
1593,124,-132.78561167,0.8621668749999999,92.57,11607,7,2651,0.7493825554847717,0.001
1592,128,-131.83822402999996,0.8565737500000001,93.79,12078,7,2769,0.5023179054260254,0.001
1591,132,-126.31434005999998,0.85244125,93.41,12426,7,2856,1.542248249053955,0.001
1587,136,-126.11061009000001,0.8481306250000002,93.36,12789,8,2947,2.245556116104126,0.001
1584,140,-121.69879336,0.8432499999999998,93.41,13200,8,3049,1.029480218887329,0.001
1578,144,-113.74913667999999,0.8386424999999997,93.23,13588,8,3146,4.756997108459473,0.001
1575,148,-111.42518381000002,0.8344268750000001,93.08,13943,8,3235,1.4419825077056885,0.001
1575,152,-111.87171465000002,0.8303418750000002,92.73,14287,9,3321,1.420680284500122,0.001
1574,156,-105.19632395999999,0.8250337500000002,93.63,14734,9,3433,5.371181488037109,0.001
1573,160,-102.69100054,0.8206637500000001,93.19,15102,9,3525,1.5328259468078613,0.001
1571,164,-102.27219967,0.8161987499999999,93.47,15478,9,3619,1.3365044593811035,0.001
1570,168,-101.16333591999997,0.8125531250000002,92.8,15785,10,3696,0.5939886569976807,0.001
1567,172,-101.28942628,0.8075774999999998,93.39,16204,10,3800,1.803637146949768,0.001
1565,176,-97.30803347999999,0.8030887499999999,93.24,16582,10,3895,3.392475128173828,0.001
1557,180,-94.52641414,0.7992174999999999,92.78,16908,10,3976,1.1894993782043457,0.001
